Tanggal,qty,Jumlah
2017-06-23,15219,98162550
2017-06-24,15267,98472150
2017-06-25,8450,54502500
2017-06-26,11466,73955700
2017-06-27,9915,63951750
2017-06-28,9911,63925950
2017-06-29,9355,60339750
2017-06-30,9239,59591550
2017-07-01,10507,67770150
2017-07-02,10597,68350650
2017-07-03,9362,60384900
2017-07-04,9745,62855250
2017-07-05,8967,57837150
2017-07-06,12625,81431250
2017-07-07,2914,18795300
2017-07-08,14768,95253600
2017-07-09,14247,91893150
2017-07-10,0,0
2017-07-11,13039,84101550
2017-07-12,14414,92970300
2017-07-13,14025,90461250
2017-07-14,10455,67434750
2017-07-15,14887,96021150
2017-07-16,13392,86378400
2017-07-17,15715,101361750
2017-07-18,14846,95756700
2017-07-19,13512,87152400
2017-07-20,13749,88681050
2017-07-21,4243,27367350
2017-07-22,7802,50322900
2017-07-23,7253,46781850
2017-07-24,985,6353250
2017-07-25,7653,49361850
2017-07-26,4881,31482450
2017-07-27,8179,52754550
2017-07-28,8382,54063900
2017-07-29,10403,67099350
2017-07-30,4453,28721850
2017-07-31,3355,21639750
2017-08-01,7759,50045550
2017-08-02,7886,50864700
2017-08-03,31,200000
2017-08-04,8114,52335300
2017-08-05,6821,43995450
2017-08-06,931,6004950
2017-08-07,0,0
2017-08-08,7002,45162900
2017-08-09,1028,6630600
2017-08-10,0,0
2017-08-11,4693,30269850
2017-08-12,10988,70872600
2017-08-13,8243,53167350
2017-08-14,7847,50613150
2017-08-15,7839,50561550
2017-08-16,6760,43602800
2017-08-17,9121,58830450
2017-08-18,0,0
2017-08-19,6338,40880100
2017-08-20,1622,10461900
2017-08-21,0,0
2017-08-22,635,4095750
2017-08-23,13838,89255100
2017-08-24,1338,8630100
2017-08-25,13290,85720500
2017-08-26,2589,16699050
2017-08-27,7940,51213000
2017-08-28,0,0
2017-08-29,7710,49730500
2017-08-30,8090,52180500
2017-08-31,0,0
2017-09-01,1534,9894300
2017-09-02,14169,91390050
2017-09-03,7838,50555100
2017-09-04,0,0
2017-09-05,7932,51161400
2017-09-06,0,0
2017-09-07,7830,50503500
2017-09-08,7827,50484150
2017-09-09,7848,50619600
2017-09-10,0,0
2017-09-11,7871,50767950
2017-09-12,1479,9539550
2017-09-13,6099,39338550
2017-09-14,6557,42292650
2017-09-15,9486,61184700
2017-09-16,0,0
2017-09-17,7966,51380700
2017-09-18,7867,50742150
2017-09-19,7915,51051750
2017-09-20,0,0
2017-09-21,7663,49426350
2017-09-22,8345,53825250
2017-09-23,8049,51916050
2017-09-24,37,238650
2017-09-25,0,0
2017-09-26,7626,49187700
2017-09-27,0,0
2017-09-28,6,38700
2017-09-29,0,0
2017-09-30,7998,51587100
2017-10-01,0,0
2017-10-02,0,0
2017-10-03,7774,50141300
2017-10-04,0,0
2017-10-05,8126,52412700
2017-10-06,0,0
2017-10-07,7770,50116500
2017-10-08,7982,51483900
2017-10-09,46,296700
2017-10-10,7959,51335550
2017-10-11,9,58050
